agency,section,id,published_iso,headline,summary,content,url
thairath,tech_innovation,2907427,2026-01-13T10:14:07+07:00,Google มูลค่าบริษัท แตะระดับ 4 ล้านล้านดอลลาร์ บริษัทที่ 4 ของโลก,Alphabet บริษัทแม่ Google บริษัทที่ 4 ของโลกที่ทำมูลค่าทะลุ 4 ล้านล้านดอลลาร์สหรัฐ หลังผลงานดีตลอดปี 2025 และล่าสุด Apple เพิ่งประกาศใช้ Gemini พัฒนา Siri เวอร์ชันใหม่,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2907427
thairath,tech_innovation,2907590,2026-01-13T17:47:21+07:00,รู้จัก Are You Dead? แอปฯ ใหม่กำลังไวรัลในจีน สร้างมาเพื่อความปลอดภัย ตอบโจทย์การอยู่คนเดียว,รู้จัก Are You Dead? แอปฯ ความปลอดภัยตัวใหม่กำลังเป็นที่นิยมในจีน ให้ผู้ใช้เข้ามาเช็คอินทุกวันเพื่อยืนยันว่ายังมีชีวิตอยู่ และหากไม่ได้เข้าใช้เกิน 2 วัน ระบบจะแจ้งเตือนไปยังชื่อติดต่อฉุกเฉิน,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2907590
thairath,tech_innovation,2907601,2026-01-13T18:56:56+07:00,Ant International ใหญ่แค่ไหน? ผู้วางโครงสร้างการเงินใหม่ SMEs ทั่วโลก ธุรกรรมดิจิทัลทะลุ 2 พันล้าน,สร้างนวัตกรรมการเงินให้ครองโลก แบบ Ant International ผู้วางโครงสร้างการเงินใหม่ SMEs ทั่วโลก ธุรกรรมดิจิทัลทะลุ 2 พันล้านรายการ,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2907601
thairath,tech_innovation,2907994,2026-01-15T15:33:57+07:00,ทรัมป์เคาะแล้ว เปิดทาง Nvidia ขายชิป H200 ให้จีน แลกส่วนแบ่ง 25% เข้ากระเป๋าเงินรัฐ,รัฐบาลสหรัฐฯ อนุมัติแล้ว เปิดทางให้ Nvidia ส่งออกชิป H200 ไปจีนได้ แลกกับส่วนแบ่งยอดขาย 25% ให้กับรัฐบาลสหรัฐฯ ส่งผลให้บางฝ่ายกังวลว่าจะไปช่วยเพิ่มศักยภาพทั้งด้าน AI และด้านการทหารให้กับจีน,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2907994
thairath,tech_innovation,2908044,2026-01-15T16:44:45+07:00,ระวัง! ซีรีส์แนวตั้ง เสี่ยงโดนดูดเงิน-ข้อมูล แค่กดดูตอนต่อไปก็ตกเป็นเหยื่อได้ ,"""ซีรีส์จีนแนวตั้ง, ละครคุณธรรม"" ความบันเทิงที่สร้างช่องโหว่หลอกลวง เชื่อมแอปฯ เถื่อน เว็บพนัน เงินหายไม่รู้ตัว เข้าใจกลลวงพร้อมวิธีสังเกตและป้องกันตัวเอง",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908044
thairath,tech_innovation,2908078,2026-01-15T18:13:08+07:00,จับตาบริษัทเทคฯ เปลี่ยนโลก เตรียมเข้าตลาดหุ้นปี 2026,"เปิดลิสต์ 9 บริษัทน่าจับตา เล็งเข้าจดทะเบียนในตลาดหลักทรัพย์ในปี 2026 นี้ มีทั้งบริษัทเทคโนโลยีน่าสนใจทั้ง SpaceX, OpenAI, Anthropic, Canva ซึ่งบางธุรกิจคาดว่าจะสร้างประวัติศาสตร์เลยทีเดียว",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908078
thairath,tech_innovation,2908401,2026-01-17T14:11:26+07:00,5 เทรนด์ใหญ่โลกเพย์เมนต์ 2026 ทุกอย่างเชื่อมต่อกันไร้พรมแดน ไม่แบ่งแยกอีกต่อไป เงินเฟียตหรือคริปโต,วีซ่าเจาะ 5 เทรนด์ใหญ่ปี 2026 โลกเพย์เมนต์ ทุกอย่างเชื่อมต่อกัน ไร้พรมแดนกว่าที่เคย ภูมิภาคเอเชียแปซิฟิก รวมถึงประเทศไทยเองกำลังยืนอยู่แถวหน้าของการเปลี่ยนแปลงครั้งนี้,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908401
thairath,tech_innovation,2908708,2026-01-19T13:56:28+07:00,xAI มีดีอะไร? ระดมทุนได้ ท่ามกลางเสียงวิจารณ์ Grok ถูกตั้งคำถามเรื่องภาพผู้หญิงและเด็กว่อน X,ท่ามกลางกระแสวิพากษ์วิจารณ์อย่างหนักเรื่องความไม่เหมาะสมในการทำภาพของ Grok แชตบอทบน X แต่ xAI กลับสามารถระดมทุนได้มหาศาลจนอาจดันความมั่งคั่งของ Elon Musk แตะ 8 แสนล้านดอลลาร์เป็นคนแรกของโลก,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908708
thairath,tech_innovation,2908726,2026-01-20T04:01:00+07:00,พิพิธภัณฑ์ยานยนต์พลังงานใหม่,การเปลี่ยนผ่านจากยุคเครื่องยนต์สันดาปภายในสู่ยุคยานยนต์พลังงานใหม่ (New Energy Vehicles: NEV) ไม่ได้เป็นเพียงการเปลี่ยนแปลงด้านเทคโนโลยี แต่คือการปรับโครงสร้างเศรษฐกิจ,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908726
thairath,tech_innovation,2908887,2026-01-20T11:49:54+07:00,OpenAI รายได้โตกระฉูด ปี 2025 พุ่งทะลุ 6.2 แสนล้าน แต่อย่าถามหากำไร ไม่ได้อวด ดัน AI ใช้งานจริง,OpenAI บริษัทเจ้าของ ChatGPT ประกาศรายได้รายปี 2025 พุ่งทะลุ 2 หมื่นล้านดอลลาร์สหรัฐ เพิ่มขึ้นกว่า 3 เท่าจากปีก่อนหน้า สอดคล้องกับกำลังประมวลผลที่เพิ่มขึ้นหลายเท่าหลังจำนวนผู้ใช้งานเพิ่มขึ้น,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908887
thairath,tech_innovation,2908916,2026-01-20T13:38:16+07:00,2025 ปีเดียว ไทยดึงลงทุน Data Centerกว่า 7.2 แสนล้าน เปิดทางแผนชิปเมดอินไทยแลนด์พลิกบทบาทไทย,"จากดาต้าเซ็นเตอร์สู่เซมิคอนดักเตอร์ ปี 2025 ไทยดึงลงทุน Data Center กว่า 7.2 แสนล้านบาท เปิดทางแผน ""Made-in-Thailand Chips"" พลิกบทบาทสู่ผู้ผลิตเทคโนโลยีโลก",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2908916
thairath,tech_innovation,2909149,2026-01-21T14:54:49+07:00,3 หมื่นล้านตามสัญญา Google Cloud เปิดตัว “คลาวด์ในประเทศ” แบงก์-องค์กรใหญ่ ตอบรับทันที,"ไทม์ไลน์ลงทุนไทย 3 หมื่นล้านบาท Google Cloud ประกาศเปิดตัว “Cloud Region” แห่งใหม่ในกรุงเทพมหานคร อย่างเป็นทางการ ข้อดีของการมี ""คลาวด์ในประเทศ"" ลดเสี่ยง ลดหน่วง ไม่ต้องส่งข้อมูลออกนอก",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2909149
thairath,tech_innovation,2909359,2026-01-22T11:48:14+07:00,"บิตคอยน์ฟื้นเหนือ 90,000 ดอลลาร์ หลังทรัมป์ส่งสัญญาณผ่อนคลายเกมการค้า ไม่ขึ้นภาษียุโรป","ราคาบิตคอยน์ขยับตัวขึ้นอีกครั้ง ทะยานสู่ 90,000 ดอลลาร์สหรัฐต่อ BTC ในช่วง 24 ชั่วโมงที่ผ่านมา หลังจากที่โดนัลด์ ทรัมป์ ได้ขึ้นกล่าวบนเวที World Economic Forum ถึงประเด็นกรีนแลนด์และยุโร",,https://www.thairath.co.th/money/tech_innovation/digital_assets/2909359
thairath,tech_innovation,2909361,2026-01-22T11:51:23+07:00,เปิดตัว “Pantip Mall” แพลตฟอร์มคนไทยเพื่อคนไทย ตำนานเว็บกระทู้จับมือ ShopSCAPE ลดพึ่งพาต่างชาติ,ตำนานเว็บกระทู้เปิดตัว “Pantip Mall Operated by ShopSCAPE” แพลตฟอร์มมาร์เก็ตเพลสสัญชาติไทยเพื่อคนไทย เตรียม Soft Launch เม.ย. นี้ เปิดรับผู้ค้ากลุ่มแรก,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2909361
thairath,tech_innovation,2909677,2026-01-23T16:22:44+07:00,อีลอน มัสก์ ขึ้นเวที WEF ครั้งแรก ทำนายโลกไร้งาน มนุษย์สู้ AI ไม่ได้ แต่ชีวิตต้องมองโลกในแง่ดี,อีลอน มัสก์ ปรากฏตัวบนเวที WEF ที่ดาวอส อย่างไม่คาดคิด แม้ก่นหน้านี้จะเคยออกปากวิจารณ์ว่า “น่าเบื่อสุด ๆ” ทำนายโลกไร้งาน มนุษย์สู้ AI ไม่ได้ แต่ชีวิตต้องมองโลกในแง่ดี,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2909677
thairath,tech_innovation,2909886,2026-01-24T23:41:19+07:00,จ่ายแพง เรียนหนัก แต่ทักษะไม่ตอบโจทย์ตลาด ดร.การดี จี้แผลใหญ่การศึกษาไทยที่กำลังเหลื่อมล้ำสุดขั้ว,เด็กไทยยังครองแชมป์เรียนหนักสุดในโลก แต่ผลคะแนนวัดระดับกลับรั้งท้าย ยิ่งในยุดที่ AI เข้ามา ระบบการศึกษาของประเทศยิ่งต้องปรับ พูดคุยกับ ดร.การดี เลียวไพโรจน์ ถึงภาพการศึกษาของไทย,,https://www.thairath.co.th/money/tech_innovation/digital_transformation/2909886
thairath,tech_innovation,2910331,2026-01-27T12:58:14+07:00,ลดพึ่งพา Nvidia แก้เกมผูกขาด Microsoft เปิดตัว ชิป AI รุ่นใหม่ “Maia 200”แรงกว่าคู่เข็ง 3 เท่า,Microsoft เปิดตัว “Maia 200” ชิป AI รุ่นใหม่ เดินเกมลดการพึ่งพา Nvidia ชูประสิทธิภาพเหนือ Google–Amazon,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910331
thairath,tech_innovation,2910354,2026-01-27T13:31:16+07:00,"Nvidia ลงทุน CoreWeave ทุ่มอีก 2,000 ล้านดอลลาร์ ปั้น Data Center ปูทางสงคราม AI ระยะยาว","Nvidia ทุ่มเงินลงทุน 2,000 ล้านดอลลาร์สหรัฐ ซื้อหุ้น CoreWeave หนุนเพิ่มกำลังประมวลผลใน Data Center เพื่อรองรับการเติบโตของตลาด AI ซึ่ง CoreWeave เองก็เป็นลูกค้าของ Nvidia",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910354
thairath,tech_innovation,2910428,2026-01-27T16:09:38+07:00,"โลกออนไลน์ หาเงินมากขึ้น แต่ชีวิตไร้ซึ่งความมั่นคง  ป้อม ภาวุธ เปิดแผลใหญ่ ""แรงงานโลกใหม่""  ","โลกออนไลน์ หาเงินมากขึ้น แต่ชีวิตไร้ซึ่งความมั่นคง ป้อม ภาวุธ พรรคประชาชน เปิดแผลใหญ่ ""แรงงานโลกใหม่""  ที่รัฐไทยตามไม่ทัน เสียดุลมหาศาล ทั้งเงินและข้อมูล",,https://www.thairath.co.th/money/tech_innovation/digital_transformation/2910428
thairath,tech_innovation,2910656,2026-01-28T16:07:21+07:00,SoftBank ทุ่ม OpenAI อีก 3 หมื่นล้าน ขายหุ้น Nvidia หมดพอร์ต พักดีล หวังขึ้นแท่นผู้ลงทุนใหญ่สุด,SoftBank เตรียมทุ่มอีก 3 หมื่นล้านดอลลาร์สหรัฐ ลงทุนใน OpenAI อีกครั้ง หวังเดินตามแผน Masayoshi Son รุกลงทุนในผู้สร้าง ChatGPT ต่อเนื่อง จนขึ้นแท่นเป็นหนึ่งในรายใหญ่ถือหุ้นที่ราว 11%,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910656
thairath,tech_innovation,2910695,2026-01-28T18:10:16+07:00,วิกฤติเว็บแอปประกันสังคม งบลงทุน 850 ล้านบาท ระบบล่มซ้ำซาก ใครคือ“IRCP”ผู้ชนะประมูลปฏิรูป SSO Core,"“วิกฤตไอที สปส.” พิรุธจัดซื้อจัดจ้างเว็บแอป 850 ล้านบาท เปิดข้อมูล ""IRCP"" บริษัทไอทีในตลาดหลักทรัพย์ฯ ผู้ชนะประมูลปฏิรูป SSO Core",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910695
thairath,tech_innovation,2910766,2026-01-29T09:20:00+07:00,BBIK มอง AI เป็นแรงหนุนหลัก ดันการลงทุนดิจิทัลปี 69 แม้เศรษฐกิจชะลอ,"บลูบิคตั้งเป้าโต 20% สวนเศรษฐกิจ ชี้ AI, Virtual Bank และคลาวด์ภาครัฐ เป็นดาวเด่นดิจิทัลทรานส์ฟอร์เมชันปี 69 ฝากรัฐบาลใหม่วางนโยบาย AI อย่างลึกซึ้ง ไม่ฉาบฉวย และมั่นคงรอบด้าน",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910766
thairath,tech_innovation,2910812,2026-01-29T12:05:56+07:00,"Amazon เลิกจ้างอีก 16,000 ราย ลดคน ลดชั้น ปิดธุรกิจไม่คุ้ม ดันหุ่นยนต์- AI ขึ้นแทนแรงงานคน","Amazon ประกาศปลดพนักงานอีก 16,000 คน รวมจากเดือนตุลาคมปีที่ผ่านมาลดจำนวนไปแล้วกว่า 30,000 คน เดินหน้าเต็มกำลังลดต้นทุน ปรับโครงสร้างธุรกิจให้ลีน ปิดกิจการบางส่วนที่ทำเงินได้ไม่คุ้ม",,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910812
thairath,tech_innovation,2910859,2026-01-29T15:52:23+07:00,“ปีเดียวก็ทำได้ แอปฯ เดียวใช้ทุกอย่าง” แจ๊ค ฉัตริน ชี้แนวทางรื้อระบบเพื่อสร้าง “รัฐ as a Service”,ลาขาด “รัฐ 1000 แอป” แจ๊ค-ฉัตริน จันทร์หอม ผู้สมัคร ส.ส. บัญชีรายชื่อจากเพื่อไทย ชี้แนวทางรื้อระบบเพื่อสร้าง “รัฐ as a Service” คนไทยง่ายขึ้นตั้งแต่เกิดถึงตาย,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2910859
thairath,tech_innovation,2910929,2026-01-29T19:17:40+07:00,กู้เงินบาทด้วยคริปโตฯ Liberix แพลตฟอร์มการเงินแบบใหม่ เปลี่ยนคริปโตเป็นสภาพคล่องโดยไม่ต้องขาย,Liberix เปิดตัวแพลตฟอร์มการเงินรูปแบบใหม่ที่ให้บริการสินเชื่อเงินบาท โดยใช้บิตคอยน์และคริปโตเคอร์เรนซีเป็นหลักทรัพย์ค้ำประกัน รายแรกในไทยที่พัฒนาบริการในลักษณะดังกล่าวภายใต้กรอบกฎหมายไทย,,https://www.thairath.co.th/money/tech_innovation/digital_assets/2910929
thairath,tech_innovation,2911018,2026-01-30T11:25:53+07:00,หุ้น Microsoft ร่วง 10% มูลค่าหาย 11 ล้านล้านในวันเดียว หลังงบ Q2/26 คลาวด์-AI ไม่ตรงคาด ,Microsoft เจอแรงเทขายหนัก หุ้นดิ่ง 10% มาร์เก็ตแคปหาย 11 ล้านล้านบาท หนักสุดในรอบเกือบ 5 ปี สัญญาณนักลงทุนเริ่มไม่มั่นใจ AI-คลาวด์ จะคืนทุนเร็วๆ นี้หรือไม่,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2911018
thairath,tech_innovation,2911080,2026-01-30T14:26:48+07:00,Apple Q1 ทุบสถิติ iPhone ผลงานดีสุดในประวัติศาสตร์ ดึงรายได้พุ่ง ผู้ใช้ทะลุ 2.5 พันล้านทั่วโลก  ,Apple งบไตรมาส 1 ดีกว่าคาด ยอดขาย iPhone พุ่งแรง ผลงานดีสุดในประวัติศาสตร์ ตลาดจีนพลิกบวก ดันรายได้-กำไรเหนือประมาณการ,,https://www.thairath.co.th/money/tech_innovation/tech_companies/2911080
